iter	Passed	Remaining
0	59	59701
1	60	30047
2	60	20134
3	60	15173
4	61	12207
5	61	10219
6	62	8811
7	62	7744
8	62	6912
9	63	6248
10	63	5706
11	63	5264
12	64	4881
13	64	4552
14	64	4264
15	65	4016
16	65	3796
17	65	3599
18	66	3425
19	66	3266
20	66	3121
21	67	2991
22	67	2871
23	67	2762
24	68	2666
25	68	2573
26	69	2486
27	69	2405
28	69	2330
29	69	2261
30	70	2196
31	70	2136
32	70	2080
33	71	2027
34	71	1975
35	71	1926
36	72	1879
37	72	1836
38	72	1796
39	73	1758
40	73	1720
41	73	1684
42	74	1650
43	74	1617
44	74	1586
45	75	1556
46	75	1528
47	75	1500
48	75	1474
49	76	1449
50	76	1424
51	76	1402
52	77	1379
53	77	1357
54	77	1336
55	78	1316
56	78	1296
57	78	1278
58	79	1260
59	79	1241
60	79	1224
61	79	1207
62	80	1191
63	80	1174
64	80	1159
65	80	1144
66	81	1129
67	81	1112
68	81	1098
69	81	1085
70	82	1073
71	82	1061
72	82	1049
73	82	1036
74	83	1025
75	83	1015
76	83	1004
77	84	993
78	84	983
79	84	974
80	84	964
81	85	954
82	85	944
83	85	935
84	86	926
85	86	918
86	86	908
87	86	899
88	87	891
89	87	883
90	87	875
91	87	867
92	88	859
93	88	852
94	88	845
95	89	838
96	89	831
97	89	824
98	89	817
99	90	811
100	90	804
101	90	796
102	90	790
103	91	784
104	91	778
105	91	772
106	91	766
107	92	760
108	92	755
109	92	749
110	92	743
111	93	738
112	93	732
113	93	728
114	94	723
115	94	717
116	94	712
117	94	708
118	94	702
119	95	698
120	95	693
121	95	689
122	95	683
123	96	679
124	96	674
125	96	670
126	96	665
127	97	661
128	97	656
129	97	652
130	97	648
131	98	644
132	98	640
133	98	637
134	98	633
135	99	629
136	99	626
137	99	622
138	99	618
139	100	615
140	100	612
141	100	608
142	100	605
143	101	601
144	101	598
145	101	595
146	102	591
147	102	589
148	102	585
149	102	582
150	103	579
151	103	576
152	103	573
153	104	571
154	104	568
155	104	566
156	105	563
157	105	561
158	105	559
159	105	556
160	106	553
161	106	551
162	106	548
163	107	545
164	107	543
165	107	540
166	107	537
167	108	535
168	108	533
169	108	531
170	109	528
171	109	526
172	109	523
173	109	521
174	110	519
175	110	516
176	110	514
177	110	512
178	111	509
179	111	507
180	111	504
181	111	501
182	111	499
183	112	497
184	112	495
185	112	493
186	112	491
187	113	489
188	113	486
189	113	484
190	114	483
191	114	480
192	114	478
193	114	476
194	115	474
195	115	472
196	115	471
197	115	469
198	116	467
199	116	465
200	116	464
201	117	462
202	117	460
203	117	458
204	117	457
205	118	455
206	118	454
207	118	452
208	119	451
209	119	449
210	119	447
211	120	446
212	120	444
213	120	443
214	120	441
215	121	440
216	121	438
217	121	437
218	122	435
219	122	433
220	122	432
221	122	430
222	123	428
223	123	427
224	123	425
225	123	424
226	124	422
227	124	421
228	124	420
229	125	418
230	125	417
231	125	416
232	125	414
233	126	413
234	126	411
235	126	409
236	126	408
237	127	406
238	127	405
239	127	404
240	127	402
241	128	401
242	128	399
243	128	398
244	128	397
245	129	396
246	129	395
247	129	393
248	130	392
249	130	390
250	130	389
251	130	388
252	131	387
253	131	385
254	131	384
255	131	383
256	132	382
257	132	380
258	132	379
259	132	378
260	133	377
261	133	376
262	133	374
263	134	373
264	134	372
265	134	371
266	134	370
267	135	369
268	135	368
269	135	367
270	136	365
271	136	364
272	136	363
273	136	362
274	137	361
275	137	360
276	137	359
277	138	359
278	138	358
279	138	357
280	139	356
281	139	354
282	139	353
283	139	352
284	140	351
285	140	350
286	140	349
287	141	348
288	141	347
289	141	346
290	141	345
291	142	344
292	142	343
293	142	342
294	142	341
295	143	340
296	143	339
297	143	337
298	143	336
299	143	335
300	144	334
301	144	334
302	144	333
303	145	331
304	145	330
305	145	330
306	145	329
307	146	328
308	146	327
309	146	326
310	146	325
311	147	324
312	147	323
313	147	322
314	148	321
315	148	321
316	148	320
317	148	319
318	149	318
319	149	317
320	149	316
321	149	315
322	150	315
323	150	314
324	150	313
325	151	312
326	151	311
327	151	310
328	152	310
329	152	309
330	152	308
331	152	307
332	153	307
333	153	306
334	153	305
335	154	304
336	154	303
337	154	302
338	154	302
339	155	301
340	155	300
341	155	299
342	156	298
343	156	298
344	156	297
345	156	296
346	156	295
347	157	294
348	157	293
349	157	292
350	157	292
351	158	291
352	158	290
353	158	289
354	158	288
355	159	287
356	159	287
357	159	286
358	159	285
359	160	285
360	160	284
361	160	283
362	161	282
363	161	282
364	161	281
365	162	280
366	162	279
367	162	279
368	162	278
369	163	277
370	163	276
371	163	276
372	163	275
373	164	274
374	164	274
375	164	273
376	164	272
377	165	271
378	165	270
379	165	270
380	165	269
381	166	268
382	166	268
383	166	267
384	166	266
385	167	265
386	167	265
387	167	264
388	168	264
389	168	263
390	168	262
391	168	262
392	169	261
393	169	260
394	169	260
395	170	259
396	170	259
397	170	258
398	171	257
399	171	257
400	171	256
401	171	255
402	172	255
403	172	254
404	172	253
405	172	253
406	173	252
407	173	251
408	173	250
409	173	250
410	174	249
411	174	248
412	174	248
413	174	247
414	175	246
415	175	246
416	175	245
417	175	244
418	176	244
419	176	243
420	176	242
421	176	242
422	177	241
423	177	240
424	177	240
425	177	239
426	178	239
427	178	238
428	178	237
429	178	237
430	179	236
431	179	236
432	179	235
433	180	234
434	180	234
435	180	233
436	180	232
437	181	232
438	181	231
439	181	231
440	181	230
441	182	230
442	182	229
443	182	228
444	183	228
445	183	227
446	183	227
447	183	226
448	184	226
449	184	225
450	184	224
451	185	224
452	185	223
453	185	223
454	185	222
455	186	221
456	186	221
457	186	220
458	186	220
459	187	219
460	187	219
461	187	218
462	187	217
463	188	217
464	188	216
465	188	216
466	188	215
467	189	215
468	189	214
469	189	213
470	189	213
471	190	212
472	190	212
473	190	211
474	190	210
475	191	210
476	191	209
477	191	209
478	192	208
479	192	208
480	192	207
481	192	207
482	193	206
483	193	206
484	193	205
485	194	205
486	194	204
487	194	204
488	194	203
489	195	203
490	195	202
491	195	202
492	195	201
493	196	200
494	196	200
495	196	199
496	196	199
497	197	198
498	197	198
499	197	197
500	198	197
501	198	196
502	198	196
503	198	195
504	199	195
505	199	194
506	199	194
507	199	193
508	200	193
509	200	192
510	200	192
511	200	191
512	201	191
513	201	190
514	201	190
515	202	189
516	202	189
517	202	188
518	202	188
519	203	187
520	203	187
521	203	186
522	204	186
523	204	185
524	204	185
525	204	184
526	205	184
527	205	183
528	205	183
529	205	182
530	206	182
531	206	181
532	206	180
533	206	180
534	207	179
535	207	179
536	207	178
537	207	178
538	208	177
539	208	177
540	208	176
541	208	176
542	209	175
543	209	175
544	209	175
545	209	174
546	210	174
547	210	173
548	210	173
549	211	172
550	211	172
551	211	171
552	211	171
553	212	170
554	212	170
555	212	169
556	213	169
557	213	168
558	213	168
559	213	168
560	214	167
561	214	167
562	214	166
563	215	166
564	215	165
565	215	165
566	215	164
567	216	164
568	216	163
569	216	163
570	216	162
571	217	162
572	217	162
573	217	161
574	218	161
575	218	160
576	218	160
577	218	159
578	219	159
579	219	158
580	219	158
581	219	157
582	220	157
583	220	156
584	220	156
585	221	156
586	221	155
587	221	155
588	221	154
589	222	154
590	222	153
591	222	153
592	222	152
593	223	152
594	223	152
595	223	151
596	224	151
597	224	150
598	224	150
599	224	149
600	225	149
601	225	149
602	225	148
603	225	148
604	226	147
605	226	147
606	226	146
607	226	146
608	227	145
609	227	145
610	227	145
611	228	144
612	228	144
613	228	143
614	229	143
615	229	143
616	229	142
617	229	142
618	230	141
619	230	141
620	230	140
621	230	140
622	231	139
623	231	139
624	231	139
625	232	138
626	232	138
627	232	137
628	233	137
629	233	137
630	233	136
631	233	136
632	234	135
633	234	135
634	234	134
635	234	134
636	235	134
637	235	133
638	235	133
639	236	132
640	236	132
641	236	131
642	236	131
643	237	131
644	237	130
645	237	130
646	237	129
647	238	129
648	238	128
649	238	128
650	238	128
651	239	127
652	239	127
653	239	126
654	239	126
655	240	125
656	240	125
657	240	125
658	241	124
659	241	124
660	241	123
661	241	123
662	242	123
663	242	122
664	242	122
665	242	121
666	243	121
667	243	120
668	243	120
669	243	120
670	244	119
671	244	119
672	244	118
673	245	118
674	245	118
675	245	117
676	245	117
677	246	116
678	246	116
679	246	116
680	247	115
681	247	115
682	247	114
683	247	114
684	248	114
685	248	113
686	248	113
687	248	112
688	249	112
689	249	112
690	249	111
691	249	111
692	250	110
693	250	110
694	250	110
695	251	109
696	251	109
697	251	108
698	251	108
699	252	108
700	252	107
701	252	107
702	252	106
703	253	106
704	253	106
705	253	105
706	253	105
707	254	104
708	254	104
709	254	103
710	254	103
711	255	103
712	255	102
713	255	102
714	255	101
715	256	101
716	256	101
717	256	100
718	257	100
719	257	100
720	257	99
721	257	99
722	258	98
723	258	98
724	258	98
725	258	97
726	259	97
727	259	96
728	259	96
729	259	96
730	260	95
731	260	95
732	260	94
733	260	94
734	261	94
735	261	93
736	261	93
737	261	93
738	262	92
739	262	92
740	262	91
741	262	91
742	263	91
743	263	90
744	263	90
745	263	89
746	264	89
747	264	89
748	264	88
749	265	88
750	265	87
751	265	87
752	265	87
753	266	86
754	266	86
755	266	86
756	266	85
757	267	85
758	267	84
759	267	84
760	267	84
761	268	83
762	268	83
763	268	82
764	268	82
765	269	82
766	269	81
767	269	81
768	269	81
769	270	80
770	270	80
771	270	79
772	270	79
773	271	79
774	271	78
775	271	78
776	271	78
777	272	77
778	272	77
779	272	76
780	272	76
781	273	76
782	273	75
783	273	75
784	273	75
785	274	74
786	274	74
787	274	73
788	275	73
789	275	73
790	275	72
791	275	72
792	276	72
793	276	71
794	276	71
795	276	70
796	277	70
797	277	70
798	277	69
799	277	69
800	278	69
801	278	68
802	279	68
803	279	68
804	279	67
805	279	67
806	280	66
807	280	66
808	280	66
809	281	65
810	281	65
811	281	65
812	281	64
813	282	64
814	282	64
815	282	63
816	282	63
817	282	62
818	283	62
819	283	62
820	283	61
821	283	61
822	284	61
823	284	60
824	284	60
825	284	60
826	285	59
827	285	59
828	285	58
829	285	58
830	286	58
831	286	57
832	286	57
833	286	57
834	287	56
835	287	56
836	287	56
837	287	55
838	288	55
839	288	54
840	288	54
841	288	54
842	289	53
843	289	53
844	289	53
845	290	52
846	290	52
847	290	52
848	290	51
849	291	51
850	291	51
851	291	50
852	291	50
853	292	49
854	292	49
855	292	49
856	292	48
857	293	48
858	293	48
859	293	47
860	294	47
861	294	47
862	294	46
863	294	46
864	295	46
865	295	45
866	295	45
867	295	44
868	296	44
869	296	44
870	296	43
871	296	43
872	297	43
873	297	42
874	297	42
875	297	42
876	298	41
877	298	41
878	298	41
879	298	40
880	299	40
881	299	40
882	299	39
883	299	39
884	300	38
885	300	38
886	300	38
887	300	37
888	301	37
889	301	37
890	301	36
891	301	36
892	302	36
893	302	35
894	302	35
895	303	35
896	303	34
897	303	34
898	303	34
899	304	33
900	304	33
901	304	33
902	304	32
903	305	32
904	305	32
905	305	31
906	306	31
907	306	31
908	306	30
909	306	30
910	307	29
911	307	29
912	307	29
913	307	28
914	308	28
915	308	28
916	308	27
917	309	27
918	309	27
919	309	26
920	310	26
921	310	26
922	310	25
923	310	25
